Line,Identifier 1,Identifier 2,Comment,Amount,Runtime N2,Ampl  28,Ampl  29,Area N2,d15Nair,%N,Runtime CO2,Area CO2,Ampl  44,Ampl  45,Ampl  46,d13Cvpdb,%C,run comment,,Samples were corrected to the following standard values,,,,
148,4576,TT25_trillium_trail_leaf_masses,Plate 2 B9,2.93,238.2,4752,3498,101.8977795,1.589,3.947,403,186.7645999,5540,7147,7712,63.459,40.04,,,,,,,
149,6879,TT25_trillium_trail_leaf_masses,Plate 2 B10,2.89,237.6,6239,4597,133.0919676,2.279,4.794,403.1,184.3088935,5498,6572,7653,-23.433,40.07,,,,,,,
150,7147,TT25_trillium_trail_leaf_masses,Plate 2 B11,2.88,238.3,5065,3730,108.7683829,1.984,4.172,403.5,181.429228,5434,6581,7564,-9.311,39.59,,,,,,,
151,2276,TT25_trillium_trail_leaf_masses,Plate 2 B12,2.27,238.1,3799,2798,83.39011977,2.061,4.094,407.5,147.7687605,4592,5479,6395,-21.583,40.93,,,,,,,
152,UT729,,,2.292,,,,,,,,,,,,,,,,,,,,
153,LGlu4510,,,1.266,,,,,,,,,,,,,,double drop,,,,,,
154,ureaJT,,,7.978,,,,,,,397.3,253.9888486,6970,8179,9699,-45.074,19.93,,,,,,,
155,902,TT25_trillium_trail_leaf_masses,Plate 2 C1,2.43,237.5,4628,3411,99.95834162,2.507,4.426,405,153.8706442,4782,5827,6645,-0.107,39.86,,,,,,,
156,972,TT25_trillium_trail_leaf_masses,Plate 2 C2,2.55,237.8,4307,3173,93.69556619,2.301,4.096,403.9,167.9689253,5104,6370,7100,26.117,41.49,,,,,,,
157,5381,TT25_trillium_trail_leaf_masses,Plate 2 C3,2.19,237.5,3601,2654,78.31715406,2.793,4.022,405.5,149.2588389,4693,5924,6533,39.593,42.95,,,,,,,
158,3305,TT25_trillium_trail_leaf_masses,Plate 2 C4,2.86,237.6,6620,4867,141.4458967,0.163,5.055,404.1,168.223351,5141,6105,7155,-28.101,37.05,,,,,,,
159,1647,TT25_trillium_trail_leaf_masses,Plate 2 C5,1.95,237.8,4054,2987,88.56108051,2.162,4.751,408.8,126.48983,4090,4853,5695,-26.05,40.9,,,,,,,
160,7574a,TT25_trillium_trail_leaf_masses,Plate 2 C6,2.08,237.4,3311,2439,72.11875638,2.147,3.94,406,144.4919314,4559,5420,6349,-25.617,43.83,,,,,,,
161,5904a,TT25_trillium_trail_leaf_masses,Plate 2 C7,2.97,237.6,7086,5218,151.3403097,1.938,5.17,402.1,185.8692579,5543,6589,7715,-28.601,39.48,,,,,,,
162,UT729,,,1.672,237.1,7995,5858,174.240363,-3.538,9.197,410.2,106.5309815,3555,4262,4953,-13.003,40.21,,,,,,,
163,LGlu4510,,,1.894,236.8,9999,7683,213.97247,45.035,9.862,407.5,129.9504934,4218,5086,5878,-9.834,43.33,,,,,,,
164,ureaJT,,,2.018,,,,,,,416,64.73227208,2257,2614,3151,-45.067,20.15,,,,,,,
