SAMPLE,SAMPLE_number,Plant,Row,Sample,Asep,Sep,FOV,Date,Initials,Notes,Month,Day,MD,Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,Sterile,pots,ttu_colors,ttu_ids,PctH2O,Weight,Aseptate,Septate,Asep_root,Arb_root,Ves_root,Sep_root
3004-,3004,No plant,,,59,0,,,,,,,,5,21,Tri,3004,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,3004_Tri_orange,0.897379913,5.13,1.746844144,0,0,0,0,0
3004+,3004,Plant,,,47,0,,,,,,,,5,21,Tri,3004,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,3004_Tri_orange,0.927592955,5.51,1.253385521,0,0,0,0,0
3031-,3031,No plant,65,1,29,1,100,5/22/26,C.C.,,5,22,22-May,4,28,Tri,3031,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,3031_Tri_white,0.865566038,5.49,0.831804569,0.028682916,0,0,0,0
3031+,3031,Plant,71,1,118,0,100,5/22/26,C.C.,,5,22,22-May,4,28,Tri,3031,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,3031_Tri_white,0.833333333,5.16,3.740325583,0,0,0,0,0
3043-,3043,No plant,,,30,2,,,,,,,,7,24,Tri,3043,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,3043_Tri_purple,0.883468835,5.33,0.868357716,0.057890514,0,0,0,0
3043+,3043,Plant,,,63,0,,,,,,,,7,24,Tri,3043,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,3043_Tri_purple,0.75826087,5.23,2.165290007,0,0,0,0,0
3071-,3071,No plant,85,2,25,5,100,5/12/26,,,5,12,12-May,7,8,Tri,3071,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,3071_Tri_yellow,0.887775551,7.59,0.505697618,0.101139524,0,0,0,0
3071+,3071,Plant,46,1,22,3,100,5/19/26,,,5,19,19-May,7,8,Tri,3071,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,3071_Tri_yellow,0.864564007,6.27,0.553163919,0.075431443,0,0,0,0
3077-,3077,No plant,2\26,2,44,0,100,6/4/26,J.S.,,6,4,4-Jun,5,21,Tri,3077,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,3077_Tri_pink,0.882681564,8.6,0.790034442,0,0,0,0,0
3077+,3077,Plant,29,1,75,0,100,5/4/26,C.C.,,5,4,4-May,5,21,Tri,3077,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,3077_Tri_pink,0.891418564,6.53,1.756152652,0,0,0,0,0
3305-,3305,No plant,2\13,1,36,0,100,5/29/26,C.C.,,5,29,29-May,6,5,Tri,3305,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,3305_Tri_white,0.890772128,7.88,0.699045621,0,0,0,0,0
3305+,3305,Plant,52,2,50,8,100,5/19/26,,Large septate,5,19,19-May,6,5,Tri,3305,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,3305_Tri_white,0.886363636,6.85,1.122440577,0.179590492,0,0,0,0
3309-,3309,No plant,36,1,43,1,100,5/3/26,C.C.,,5,3,3-May,4,9,Tri,3309,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,3309_Tri_yellow,0.836158192,8.31,0.843480096,0.019615816,0,0,0,0
3309+,3309,Plant,10,1,70,3,100,4/29/26,C.C.,,4,29,29-Apr,4,9,Tri,3309,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,3309_Tri_yellow,0.903030303,5.82,1.815384349,0.077802186,0,0,0,0
3371-,3371,No plant,57,2,52,1,100,5/21/26,C.C.,,5,21,21-May,6,11,Tri,3371,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,3371_Tri_blue,0.868983957,5.48,1.488356205,0.028622235,0.01,0,0,0
3371+,3371,Plant,2\23,2,72,2,100,6/3/26,J.S.,,6,3,3-Jun,6,11,Tri,3371,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,3371_Tri_blue,0.857397504,7.62,1.502073437,0.041724262,0.01,0,0,0
3379-,3379,No plant,2,1,21,0,100,,,,,,,6,11,Tri,3379,PlantNW-SoilNW-FungNWsterile,GM+,GM+,GM+sterile,Yes,1,blue_blue,3379_Tri_blue_blue,0.883040936,6.68,0.485241404,0,0,0,0,0
