SAMPLE,SAMPLE_number,Plant,Row,Sample,Asep,Sep,FOV,Date,Initials,Notes,Month,Day,MD,Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,Sterile,pots,ttu_colors,ttu_ids,PctH2O,Weight,Aseptate,Septate,Asep_root,Arb_root,Ves_root,Sep_root
4414+,4414,Plant,52 or 32?,2,110,3,100,5/19/26,,,5,19,19-May,5,22,Tri,4414,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4414_Tri_purple,0.865306122,6.83,2.536869114,0.069187339,0,0,0,0
4431-,4431,No plant,56,1,62,2,100,5/21/26,,,5,21,21-May,5,23,Tri,4431,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4431_Tri_green,0.851851852,7.39,1.34239101,0.043302936,0,0,0,0
4431+,4431,Plant,2\4,2,52,2,100,5/28/26,,,5,28,28-May,5,23,Tri,4431,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4431_Tri_green,0.901515152,8.1,0.970601929,0.037330843,0,0,0,0
4452-,4452,No plant,5,1,47,0,100,4/24/26,C.C.,,4,24,24-Apr,4,7,Tri,4452,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4452_Tri_pink,0.879916859,5.37,1.355744307,0,0.01,0,0,0
4452+,4452,Plant,2\25,1,74,2,100,6/3/26,J.S.,,6,3,3-Jun,4,7,Tri,4452,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4452_Tri_pink,0.874551971,7.48,1.541843715,0.041671452,0.01,0,0,0
4505-,4505,No plant,12,1,49,0,100,4/29/26,C.C.,,4,29,29-Apr,6,11,Tri,4505,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,4505_Tri_blue,0.898706897,5.57,1.334193026,0,0,0,0,0
4505+,4505,Plant,2\5,1,59,2,100,5/23/26,,,5,23,23-May,6,11,Tri,4505,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,4505_Tri_blue,0.882352941,7.01,1.300132192,0.044072278,0,0,0,0
4511-,4511,No plant,22,1,32,1,100,5/1/26,C.C.,,5,1,1-May,6,16,Tri,4511,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,4511_Tri_blue,0.900199601,6.22,0.778962648,0.024342583,0,0,0,0
4511+,4511,Plant,37,1,85,1,100,5/8/26,C.C.,,5,8,8-May,6,16,Tri,4511,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,4511_Tri_blue,0.886632826,5.36,2.43784554,0.028680536,0,0,0,0
4547-,4547,No plant,2\12,1,39,6,100,5/29/26,C.C.,,5,29,29-May,5,10,Tri,4547,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4547_Tri_purple,0.865642994,8.88,0.691526263,0.106388656,0,0,0,0.01
4547+,4547,Plant,81,2,69,0,100,5/26/26,C.C.,,5,26,26-May,5,10,Tri,4547,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4547_Tri_purple,0.889328063,5.68,1.861806808,0,0,0,0,0.01
4576-,4576,No plant,,,58,1,,,,,,,,5,21,Tri,4576,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,4576_Tri_yellow,0.881261596,5.11,1.755488968,0.030267051,0,0,0,0
4576+,4576,Plant,21,1,64,3,100,5/1/26,C.C.,,5,1,1-May,5,21,Tri,4576,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,4576_Tri_yellow,0.894977169,5.15,1.89259045,0.088715177,0,0,0,0
4582-,4582,No plant,66,1,26,2,100,5/22/26,C.C.,,5,22,22-May,6,11,Tri,4582,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4582_Tri_green,0.851428571,6.51,0.639351952,0.049180919,0,0,0,0
4582+,4582,Plant,64,2,59,0,100,5/22/26,C.C.,,5,22,22-May,6,11,Tri,4582,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4582_Tri_green,0.883458647,5.45,1.670187155,0,0,0,0,0
4712-,4712,No plant,43,2,31,0,100,5/12/26,,,5,12,12-May,6,2,Tri,4712,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4712_Tri_red,0.878731343,6.27,0.766891442,0,0,0,0,0
4712+,4712,Plant,51,2,43,1,100,5/19/26,,,5,19,19-May,6,2,Tri,4712,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4712_Tri_red,0.887959866,6.43,1.026502477,0.023872151,0,0,0,0
4714-,4714,No plant,2\6,2,53,0,100,5/29/26,C.C.,,5,29,29-May,3,7,Tri,4714,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,4714_Tri_yellow,0.944111776,8.52,0.898066954,0,0.03,0,0,0
4714+,4714,Plant,14,2,69,0,100,4/29/26,C.C.,,4,29,29-Apr,3,7,Tri,4714,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,4714_Tri_yellow,0.896797153,5.26,1.993723746,0,0.03,0,0,0
4745-,4745,No plant,24,1,37,0,100,5/1/26,C.C.,,5,1,1-May,6,12,Tri,4745,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4745_Tri_green,0.898635478,7.69,0.729772812,0,0.03,0,0,0
4745+,4745,Plant,28,2,56,3,100,5/4/26,C.C.,,5,4,4-May,6,12,Tri,4745,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4745_Tri_green,0.778947368,9.5,1.03145946,0.055256757,0.03,0,0,0
4760-,4760,No plant,47,2,25,4,100,5/21/26,,,5,21,21-May,6,2,Tri,4760,PlantW-SoilNW-FungWsterile,GM-,GM+,GM-sterile,Yes,1,pink_blue,4760_Tri_pink_blue,0.917341977,7.06,0.526138275,0.084182124,0,0,0,0
4760+,4760,Plant,2\25,2,56,0,100,6/3/26,J.S.,,6,3,3-Jun,6,2,Tri,4760,PlantW-SoilNW-FungWsterile,GM-,GM+,GM-sterile,Yes,1,pink_blue,4760_Tri_pink_blue,0.876267748,6.57,1.325811208,0,0,0,0,0
4934-,4934,No plant,87,1,34,0,100,5/26/26,C.C.,,5,26,26-May,3,23,Tri,4934,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4934_Tri_green,0.867368421,6.96,0.767647654,0,0,0,0,0
4934+,4934,Plant,83,2,97,0,100,5/26/26,C.C.,,5,26,26-May,3,23,Tri,4934,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4934_Tri_green,0.875739645,7.2,2.096814846,0,0,0,0,0
4942-,4942,No plant,38,1,43,1,,,,,,,,3,27,Tri,4942,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4942_Tri_pink,0.877291961,5.39,1.239456806,0.028824577,0.01,0,0,0
4942+,4942,Plant,2\18,2,85,1,100,6/2/26,J.S.,,6,2,2-Jun,3,27,Tri,4942,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4942_Tri_pink,0.871323529,7.84,1.69597434,0.019952639,0.01,0,0,0
4959-,4959,No plant,16,1,30,0,100,4/30/26,,,4,30,30-Apr,5,22,Tri,4959,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4959_Tri_green,0.854263566,5.47,0.875060137,0,0.01,0,0,0.01
4959+,4959,Plant,,,36,0,,,,,,,,5,22,Tri,4959,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4959_Tri_green,0.912280702,5.29,1.016750036,0,0.01,0,0,0.01
4990-,4990,No plant,19,1,36,1,100,4/30/26,,,4,30,30-Apr,5,22,Tri,4990,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,4990_Tri_white,0.882352941,6.1,0.911645902,0.025323497,0.02,0.01,0,0
4990+,4990,Plant,7,1,108,0,100,4/24/26,C.C.,,4,24,24-Apr,5,22,Tri,4990,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,4990_Tri_white,0.887543253,6.33,2.620151325,0,0.02,0.01,0,0
5031-,5031,No plant,53,2,40,0,100,5/19/26,,,5,19,19-May,6,28,Tri,5031,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,5031_Tri_white,0.86779661,6.86,0.915827715,0,0,0,0,0
5031+,5031,Plant,49,1,41,2,100,5/19/26,,,5,19,19-May,6,28,Tri,5031,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,5031_Tri_white,0.880998081,8.16,0.7773464,0.037919337,0,0,0,0
5040-,5040,No plant,63,2,53,0,100,5/22/26,C.C.,,5,22,22-May,4,20,Tri,5040,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5040_Tri_orange,0.849315068,5.77,1.474100465,0,0,0,0,0
5040+,5040,Plant,88,1,23,1,100,5/28/26,C.C.,Abnormally Low,5,28,28-May,4,20,Tri,5040,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5040_Tri_orange,0.859459459,7.05,0.517379455,0.022494759,0,0,0,0
5060-,5060,No plant,78,2,28,0,100,5/26/26,C.C.,,5,26,26-May,6,27,Tri,5060,PlantW-SoilW-FungWsterile,GM-,GM-,GM-sterile,Yes,1,red_blue,5060_Tri_red_blue,0.78490566,7.77,0.625770964,0,0,0,0,0
5060+,5060,Plant,2\14,1,61,0,100,5/29/26,C.C.,,5,29,29-May,6,27,Tri,5060,PlantW-SoilW-FungWsterile,GM-,GM-,GM-sterile,Yes,1,red_blue,5060_Tri_red_blue,0.873584906,7.34,1.29665521,0,0,0,0,0
5115-,5115,No plant,76,1,29,0,100,5/26/26,C.C.,,5,26,26-May,5,19,Tri,5115,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,5115_Tri_pink,0.867850099,7.18,0.634343789,0,0,0,0,0
5115+,5115,Plant,62,2,16,0,100,5/22/26,C.C.,Abnormally Low,5,22,22-May,5,19,Tri,5115,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,5115_Tri_pink,0.872987478,5.46,0.457525371,0,0,0,0,0
5228-,5228,No plant,51,1,17,2,100,5/19/26,,Very little dye present,5,19,19-May,5,19,Tri,5228,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,5228_Tri_red,0.869120654,6.31,0.4225084,0.049706871,0,0,0,0
5228+,5228,Plant,2\19,1,18,0,100,6/2/26,J.S.,,6,2,2-Jun,5,19,Tri,5228,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,5228_Tri_red,0.882235529,6.95,0.400128064,0,0,0,0,0
5267-,5267,No plant,49,2,36,0,100,5/19/26,,,5,19,19-May,6,2,Tri,5267,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,5267_Tri_pink,0.885375494,7.61,0.728259574,0,0,0,0,0
5267+,5267,Plant,70,1,63,0,100,5/22/26,C.C.,,5,22,22-May,6,2,Tri,5267,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,5267_Tri_pink,0.857758621,6.88,1.455066612,0,0,0,0,0
5381-,5381,No plant,91,2,23,2,100,5/23/26,C.C.,,5,23,23-May,5,10,Tri,5381,PlantNW-SoilNW-FungWsterile,GM+,GM+,GM-sterile,Yes,1,white_blue,5381_Tri_white_blue,0.901052632,6.05,0.575066617,0.050005793,0.01,0,0,0
5381+,5381,Plant,4,1,95,8,100,4/24/26,C.C.,,4,24,24-Apr,5,10,Tri,5381,PlantNW-SoilNW-FungWsterile,GM+,GM+,GM-sterile,Yes,1,white_blue,5381_Tri_white_blue,0.900326797,6.49,2.216024654,0.186612602,0.01,0,0,0
5403-,5403,No plant,39,2,61,0,100,5/8/26,C.C.,,5,8,8-May,6,6,Tri,5403,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,5403_Tri_white,0.876325088,6.77,1.401431184,0,0,0,0,0
5403+,5403,Plant,,,63,0,,,,,,,,6,6,Tri,5403,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,5403_Tri_white,0.866533865,5.31,1.866192089,0,0,0,0,0
5436-,5436,No plant,9,2,46,0,100,4/29/26,C.C.,,4,29,29-Apr,3,3,Tri,5436,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5436_Tri_orange,0.848484848,5.36,1.378620736,0,0.01,0,0,0
5436+,5436,Plant,,,62,0,,,,,,,,3,3,Tri,5436,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5436_Tri_orange,0.901666667,5.58,1.679605668,0,0.01,0,0,0
5488-,5488,No plant,,,13,1,,,,,,,,3,1,Tri,5488,PlantW-SoilNW-FungNWsterile,GM-,GM+,GM+sterile,Yes,1,yellow_blue,5488_Tri_yellow_blue,0.894934334,5.28,0.37498519,0.028845015,0,0,0,0
5488+,5488,Plant,2\10,2,55,0,100,5/29/26,C.C.,,5,29,29-May,3,1,Tri,5488,PlantW-SoilNW-FungNWsterile,GM-,GM+,GM+sterile,Yes,1,yellow_blue,5488_Tri_yellow_blue,0.884437596,9.15,0.926339655,0,0,0,0,0
5619-,5619,No plant,,,21,0,,,,,,,,6,5,Tri,5619,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,5619_Tri_white,0.884875847,5.36,0.60348714,0,0,0,0,0
5619+,5619,Plant,42,1,53,2,100,5/12/26,C.C.,,5,12,12-May,6,5,Tri,5619,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,5619_Tri_white,0.905462185,6.82,1.169814589,0.044143947,0,0,0,0
5626-,5626,No plant,,,40,2,,,,,,,,6,6,Tri,5626,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,5626_Tri_green,0.874493927,5.16,1.208229257,0.060411463,0,0,0,0
5626+,5626,Plant,34,1,76,1,100,5/26/26,C.C.,,5,26,26-May,6,6,Tri,5626,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,5626_Tri_green,0.868468468,6.44,1.852121725,0.024370023,0,0,0,0
5641-,5641,No plant,45,1,21,2,100,5/12/26,,slide leaking,5,12,12-May,6,4,Tri,5641,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,5641_Tri_purple,0.878406709,8.94,0.364486953,0.034713043,0,0,0,0
5641+,5641,Plant,17,1,31,0,100,4/30/26,,,4,30,30-Apr,6,4,Tri,5641,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,5641_Tri_purple,0.852822581,5.27,0.940130719,0,0,0,0,0
5714-,5714,No plant,10,2,37,4,100,4/29/26,C.C.,,4,29,29-Apr,6,8,Tri,5714,PlantW-SoilW-FungNWsterile,GM-,GM-,GM+sterile,Yes,1,orange_blue,5714_Tri_orange_blue,0.786078098,6.03,1.063933716,0.115019861,0,0,0,0
5714+,5714,Plant,14,1,37,2,100,4/29/26,C.C.,,4,29,29-Apr,6,8,Tri,5714,PlantW-SoilW-FungNWsterile,GM-,GM-,GM+sterile,Yes,1,orange_blue,5714_Tri_orange_blue,0.89,5.65,1.00290345,0.054210997,0,0,0,0
5722-,5722,No plant,19,2,32,0,100,4/30/26,,,4,30,30-Apr,6,6,Tri,5722,PlantNW-SoilW-FungWsterile,GM+,GM-,GM-sterile,Yes,1,purple_blue,5722_Tri_purple_blue,0.785123967,5.81,0.956161971,0,0,0,0,0
5722+,5722,Plant,40,1,52,1,100,5/8/26,C.C.,,5,8,8-May,6,6,Tri,5722,PlantNW-SoilW-FungWsterile,GM+,GM-,GM-sterile,Yes,1,purple_blue,5722_Tri_purple_blue,0.875278396,6.43,1.259337157,0.024218022,0,0,0,0
5742-,5742,No plant,84,2,40,0,100,5/26/26,C.C.,,5,26,26-May,6,3,Tri,5742,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,5742_Tri_yellow,0.877917415,6.52,0.952477197,0,0,0,0,0
5742+,5742,Plant,72,2,42,0,100,5/26/26,C.C.,,5,26,26-May,6,3,Tri,5742,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,5742_Tri_yellow,0.896062992,5.99,1.06654647,0,0,0,0,0
5771-,5771,No plant,2\29,1,117,0,100,6/3/26,M.C.,ives????,6,3,3-Jun,6,5,Tri,5771,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,5771_Tri_blue,0.88441331,7.53,2.394591693,0,0,0,0,0
5771+,5771,Plant,74,1,55,0,100,5/26/26,C.C.,,5,26,26-May,6,5,Tri,5771,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,5771_Tri_blue,0.877729258,5.37,1.590463418,0,0,0,0,0
5852-,5852,No plant,11,1,42,1,100,4/29/26,C.C.,,4,29,29-Apr,6,9,Tri,5852,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5852_Tri_orange,0.791075051,5.4,1.340089173,0.031906885,0,0,0,0
5852+,5852,Plant,2\1,2,120,1,100,5/28/26,C.C.,,5,28,28-May,6,9,Tri,5852,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5852_Tri_orange,0.865580448,7.72,2.447667175,0.020397226,0,0,0,0
5865-,5865,No plant,21,2,21,0,100,5/1/26,C.C.,,5,1,1-May,6,2,Tri,5865,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5865_Tri_orange,0.842911877,5.25,0.646805455,0,0,0,0,0
5865+,5865,Plant,59,1,93,2,100,5/2/26,C.C.,,5,2,2-May,6,2,Tri,5865,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5865_Tri_orange,0.737142857,6.6,2.605452784,0.056031243,0,0,0,0
5877-,5877,No plant,41,2,56,2,100,5/3/25,C.C.,,5,3,3-May,5,27,Tri,5877,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5877_Tri_orange,0.851590106,6.94,1.2914982,0.046124936,0,0.01,0,0
5877+,5877,Plant,2\21,2,106,2,100,6/3/26,J.S.,1 vesicle found,6,3,3-Jun,5,27,Tri,5877,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5877_Tri_orange,0.87654321,8.12,2.029889336,0.038299799,0,0.01,0,0
5904-,5904,No plant,,,39,0,,,,,,,,5,9,Tri,5904,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5904_Tri_orange,0.890063425,5.11,1.168741883,0,0,0,0,0
5904+,5904,Plant,32,1,73,0,100,5/4/26,C.C.,,5,4,4-May,5,9,Tri,5904,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,5904_Tri_orange,0.934102142,6.56,1.623755027,0,0,0,0,0
6507-,6507,No plant,2\27,2,73,0,100,6/4/26,J.S.,2 vesicles found (may actually be swapped with 2416),6,4,4-Jun,7,12,Tri,6507,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,6507_Tri_white,0.904672897,7.16,1.536080989,0,0,0,0,0
6507+,6507,Plant,3,2,69,0,,,,,,,,7,12,Tri,6507,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,6507_Tri_white,0.875273523,5.53,1.943014421,0,0,0,0,0
6558-,6558,No plant,58,2,27,2,100,5/21/26,,,5,21,21-May,3,22,Tri,6558,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,6558_Tri_blue,0.875685558,7.01,0.599505835,0.04440784,0,0,0,0
6558+,6558,Plant,50,2,44,0,100,5/19/26,,,5,19,19-May,3,22,Tri,6558,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,6558_Tri_blue,0.880434783,6.59,1.033631952,0,0,0,0,0
6875-,6875,No plant,2\23,1,41,0,100,6/3/26,J.S.,,6,3,3-Jun,5,29,Tri,6875,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,6875_Tri_white,0.863309353,7.44,0.870042226,0,0.01,0.01,0,0
6875+,6875,Plant,2\20,1,132,0,100,6/3/26,J.S.,,6,3,3-Jun,5,29,Tri,6875,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,6875_Tri_white,0.862847222,7.19,2.900060055,0,0.01,0.01,0,0
6879-,6879,No plant,37,2,51,0,100,5/8/26,C.C.,,5,8,8-May,6,36,Tri,6879,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,6879_Tri_white,0.893617021,5.37,1.448572759,0,0,0,0,0
6879+,6879,Plant,,,109,0,,,,,,,,6,36,Tri,6879,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,6879_Tri_white,0.893238434,5.65,2.943787823,0,0,0,0,0
6881-,6881,No plant,61,2,47,1,100,5/22/26,C.C.,,5,22,22-May,5,10,Tri,6881,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,6881_Tri_green,0.876675603,8.84,0.826613565,0.017587523,0,0,0,0
6881+,6881,Plant,90,1,39,0,100,5/28/26,C.C.,,5,28,28-May,5,10,Tri,6881,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,6881_Tri_green,0.873817035,6.55,0.928749635,0,0,0,0,0
6885-,6885,No plant,,,57,0,,,,,,,,3,20,Tri,6885,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,6885_Tri_red,0.876122083,5.23,1.695525773,0,0,0,0,0
6885+,6885,Plant,,,77,0,,,,,,,,3,20,Tri,6885,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,6885_Tri_red,0.891891892,5.09,2.31183366,0,0,0,0,0
6887-,6887,No plant,13,1,39,2,100,4/29/26,C.C.,,4,29,29-Apr,5,2,Tri,6887,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,6887_Tri_yellow,0.886925795,5.31,1.12870034,0.057882069,0,0,0,0
6887+,6887,Plant,,,69,0,,,,,,,,5,2,Tri,6887,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,6887_Tri_yellow,0.883945841,5.48,1.941505974,0,0,0,0,0
6894-,6894,No plant,3,1,,,,,,,,,,7,20,Tri,6894,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,6894_Tri_yellow,0.892307692,5.42,,,0.04109589,0,0,0
6894+,6894,Plant,60,2,106,0,100,5/22/26,C.C.,,5,22,22-May,7,20,Tri,6894,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,6894_Tri_yellow,0.879837067,6.29,2.610651019,0,0.04109589,0,0,0
7120-,7120,No plant,47,1,23,1,100,5/21/26,,,5,21,21-May,5,17,Tri,7120,PlantNW-SoilNW-FungNWsterile,GM+,GM+,GM+sterile,Yes,1,blue_blue,7120_Tri_blue_blue,0.885122411,6.68,0.53020509,0.023052395,0,0,0,0
7120+,7120,Plant,7,2,50,1,100,4/24/26,C.C.,,4,24,24-Apr,5,17,Tri,7120,PlantNW-SoilNW-FungNWsterile,GM+,GM+,GM+sterile,Yes,1,blue_blue,7120_Tri_blue_blue,0.898947368,6.02,1.259317109,0.025186342,0,0,0,0
7147-,7147,No plant,68,1,34,0,100,5/22/26,C.C.,,5,22,22-May,5,9,Tri,7147,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,7147_Tri_pink,0.869757174,5.49,0.97051982,0,0,0,0,0
7147+,7147,Plant,,,66,3,,,,,,,,5,9,Tri,7147,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,7147_Tri_pink,0.868421053,5.33,1.94348968,0.08834044,0,0,0,0
7574-,7574,No plant,39,1,32,1,100,,,,,,,7,12,Tri,7574,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,7574_Tri_green,0.865092749,8.08,0.623981626,0.019499426,0.02,0,0,0
7574+,7574,Plant,17,2,18,0,100,4/30/26,,,4,30,30-Apr,7,12,Tri,7574,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,7574_Tri_green,0.88961039,5.2,0.530353172,0,0.02,0,0,0
9145-,9145,No plant,89,2,14,0,100,5/28/26,C.C.,Abnormally Low,5,28,28-May,4,3,Tri,9145,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,9145_Tri_orange,0.905660377,7.27,0.289817171,0,0,0,0,0
9145+,9145,Plant,27,1,58,0,100,5/1/26,C.C.,Large obstructors,5,1,1-May,4,3,Tri,9145,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,9145_Tri_orange,0.909090909,8.28,1.0502343,0,0,0,0,0
1184(5226)-,1184(5226),No plant,,,30,1,,,,,,,,6,2,Tri,1184 (5226),PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,1184(5226)_Tri_yellow,0.895299145,5.61,0.814115605,0.027137187,0,0,0,0
1184(5226)+,1184(5226),Plant,58,1,52,3,100,5/21/26,,,5,21,21-May,6,2,Tri,1184 (5226),PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,1184(5226)_Tri_yellow,0.887681159,8.09,0.986946647,0.05693923,0,0,0,0
2996A1-,2996A1,No plant,73,1,40,1,100,5/26/26,C.C.,,5,26,26-May,7,14,Tri,2996A1,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,2996A1_Tri_red,0.869198312,5.67,1.106251606,0.02765629,0,0,0,0
2996A1+,2996A1,Plant,57,1,81,2,100,5/21/26,C.C.,,5,21,21-May,7,14,Tri,2996A1,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,2996A1_Tri_red,0.879056047,5.26,2.387693432,0.058955393,0,0,0,0
2996A2-,2996A2,No plant,,,35,1,,,,,,,,7,14,Tri,2996A2,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,2996A2_Tri_red,0.86492891,5.44,1.013875403,0.028967869,0.01,0,0,0
2996A2+,2996A2,Plant,6,1,102,1,100,4/24/26,C.C.,,4,24,24-Apr,7,14,Tri,2996A2,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,2996A2_Tri_red,0.879916859,5.4,2.925907748,0.02868537,0.01,0,0,0
2996A3-,2996A3,No plant,29,2,83,0,100,5/4/26,C.C.,Abnormally High,5,4,4-May,7,14,Tri,2996A3,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,2996A3_Tri_red,0.699788584,6.08,2.658909254,0,0,0,0,0
2996A3+,2996A3,Plant,33,2,33,1,100,5/4/26,C.C.,,5,4,4-May,7,14,Tri,2996A3,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,2996A3_Tri_red,0.877104377,7.42,0.691121832,0.020943086,0,0,0,0
4444(2988)-,4444(2988),No plant,67,1,47,2,100,5/22/26,C.C.,,5,22,22-May,5,33,Tri,4444 (2988),PlantW-SoilW-FungWsterile,GM-,GM-,GM-sterile,Yes,1,red_blue,4444(2988)_Tri_red_blue,0.656140351,5.07,1.925701674,0.081944752,0,0,0,0
4444(2988)+,4444(2988),Plant,73,2,58,1,100,5/26/26,C.C.,,5,26,26-May,5,33,Tri,4444 (2988),PlantW-SoilW-FungWsterile,GM-,GM-,GM-sterile,Yes,1,red_blue,4444(2988)_Tri_red_blue,0.872897196,5.09,1.779274557,0.030677148,0,0,0,0
4543(5232)-,4543(5232),No plant,54,2,39,1,100,5/19/26,,,5,19,19-May,6,16,Tri,4543 (5232),PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4543(5232)_Tri_purple,0.859315589,7.47,0.828108363,0.021233548,0,0,0,0
4543(5232)+,4543(5232),Plant,35,1,79,4,100,5/4/26,C.C.,,5,4,4-May,6,16,Tri,4543 (5232),PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4543(5232)_Tri_purple,0.887372014,5.94,2.042823167,0.103434084,0,0,0,0
4777-A-,4777A,No plant,2\2,1,12,0,100,5/28/26,C.C.,Extreme visual obstructors,5,28,28-May,6,2,Tri,4777-A,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4777-A_Tri_pink,0.861742424,6.92,0.274279616,0,0,0,0,0
