id,plot_field,subplot_field,spp,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource
5619,6,5,Tri,PlantNW-SoilNW-FungW,NW,NW,W
5626,6,6,Tri,PlantNW-SoilW-FungNW,NW,W,NW
5641,6,4,Tri,PlantNW-SoilW-FungW,NW,W,W
5714,6,8,Tri,PlantW-SoilW-FungNWsterile,W,W,NWsterile
5722,6,6,Tri,PlantNW-SoilW-FungWsterile,NW,W,Wsterile
5742,6,3,Tri,PlantW-SoilNW-FungNW,W,NW,NW
5771,6,5,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
5852,6,9,Tri,PlantW-SoilW-FungNW,W,W,NW
5865,6,2,Tri,PlantW-SoilW-FungNW,W,W,NW
5877,5,27,Tri,PlantW-SoilW-FungNW,W,W,NW
5904,5,9,Tri,PlantW-SoilW-FungNW,W,W,NW
6507,7,12,Tri,PlantNW-SoilNW-FungW,NW,NW,W
6558,3,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
6875,5,29,Tri,PlantNW-SoilNW-FungW,NW,NW,W
6879,6,36,Tri,PlantNW-SoilNW-FungW,NW,NW,W
6881,5,10,Tri,PlantNW-SoilW-FungNW,NW,W,NW
6885,3,20,Tri,PlantW-SoilW-FungW,W,W,W
6887,5,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
6894,7,20,Tri,PlantW-SoilNW-FungNW,W,NW,NW
7120,5,17,Tri,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile
7147,5,9,Tri,PlantW-SoilNW-FungW,W,NW,W
7574,7,12,Tri,PlantNW-SoilW-FungNW,NW,W,NW
9145,4,3,Tri,PlantW-SoilW-FungNW,W,W,NW
1184(5226),6,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
2996A1,7,14,Tri,PlantW-SoilW-FungW,W,W,W
2996A2,7,14,Tri,PlantW-SoilW-FungW,W,W,W
2996A3,7,14,Tri,PlantW-SoilW-FungW,W,W,W
4444(2988),5,33,Tri,PlantW-SoilW-FungWsterile,W,W,Wsterile
4777A,6,2,Tri,PlantW-SoilNW-FungW,W,NW,W
4777B,6,2,Tri,PlantW-SoilW-FungNWsterile,W,W,NWsterile
4777C,6,2,Tri,PlantW-SoilNW-FungNW,W,NW,NW
5229_blue,5,22,Tri,PlantNW-SoilNW-FungNW,NW,NW,NW
5229_red,6,1,Tri,PlantW-SoilW-FungW,W,W,W
flag1,5,14,Tri,PlantW-SoilW-FungNW,W,W,NW
flag2,5,14,Tri,PlantW-SoilNW-FungW,W,NW,W
flag3,5,14,Tri,PlantW-SoilW-FungW,W,W,W
